ptf_id,lat,lon,Variable_id,Variable_nameShort,Variable_firstMeasured,Variable_lastMeasured,time_delta,Variable_name,Variable_canonicalUnit,Variable_description
1006394.0,16.895,116.32,2396.0,SST,2012-10-08T02:09:27,2015-08-31T23:56:23,1057.907592592593,Sea surface temperature,K,"Temperature of the sea water at surface. The 'bulk' temperature refers to the depth of typically 2 m, the 'skin' temperature refers to within the upper 1 mm."
1006395.0,13.6683,113.7217,2396.0,SST,2012-10-08T02:09:27,2015-08-31T23:56:23,1057.907592592593,Sea surface temperature,K,"Temperature of the sea water at surface. The 'bulk' temperature refers to the depth of typically 2 m, the 'skin' temperature refers to within the upper 1 mm."
1006436.0,11.94,115.01,2396.0,SST,2015-09-01T00:00:00,2015-10-05T19:00:00,34.791666666666664,Sea surface temperature,K,"Temperature of the sea water at surface. The 'bulk' temperature refers to the depth of typically 2 m, the 'skin' temperature refers to within the upper 1 mm."
1006438.0,15.81,115.74,2396.0,SST,2015-09-01T00:00:00,2015-10-05T19:00:00,34.791666666666664,Sea surface temperature,K,"Temperature of the sea water at surface. The 'bulk' temperature refers to the depth of typically 2 m, the 'skin' temperature refers to within the upper 1 mm."
1006448.0,12.625,112.8433,2396.0,SST,2015-12-03T03:07:00,2015-12-13T05:00:00,10.078472222222222,Sea surface temperature,K,"Temperature of the sea water at surface. The 'bulk' temperature refers to the depth of typically 2 m, the 'skin' temperature refers to within the upper 1 mm."
1006483.0,13.5167,113.6767,2396.0,SST,2015-09-01T00:01:00,2015-11-08T02:01:00,68.08333333333333,Sea surface temperature,K,"Temperature of the sea water at surface. The 'bulk' temperature refers to the depth of typically 2 m, the 'skin' temperature refers to within the upper 1 mm."
1006500.0,15.0533,114.9667,2396.0,SST,2015-09-01T00:01:00,2015-11-08T02:01:00,68.08333333333333,Sea surface temperature,K,"Temperature of the sea water at surface. The 'bulk' temperature refers to the depth of typically 2 m, the 'skin' temperature refers to within the upper 1 mm."
1006501.0,21.2317,119.4767,2396.0,SST,2015-09-01T00:01:00,2015-11-08T02:01:00,68.08333333333333,Sea surface temperature,K,"Temperature of the sea water at surface. The 'bulk' temperature refers to the depth of typically 2 m, the 'skin' temperature refers to within the upper 1 mm."
1006506.0,15.995,115.8117,2396.0,SST,2015-09-01T00:01:00,2015-11-08T02:01:00,68.08333333333333,Sea surface temperature,K,"Temperature of the sea water at surface. The 'bulk' temperature refers to the depth of typically 2 m, the 'skin' temperature refers to within the upper 1 mm."
1006510.0,10.84,112.52,2396.0,SST,2016-05-18T00:01:00,2018-06-20T19:01:00,763.7916666666666,Sea surface temperature,K,"Temperature of the sea water at surface. The 'bulk' temperature refers to the depth of typically 2 m, the 'skin' temperature refers to within the upper 1 mm."
